Match: rule-set 'v1.1-baseline'  games=500  depth=8  max-plies=600  openings=500x6plies  seed=20260424  parallel=4
  [w0]  #281  0-1     Party extinct                       246 plies   11.0s  (274/500)
  [w3]  #284  0-1     Party extinct                        92 plies    4.2s  (275/500)
  [w2]  #275  1-0     Treasure checkmated or captured      91 plies    4.1s  (276/500)
  [w1]  #262  0-1     Party extinct                       128 plies    5.7s  (277/500)
  [w3]  #288  0-1     Party extinct                       146 plies    6.5s  (278/500)
  [w0]  #285  1-0     Treasure checkmated or captured     229 plies   10.0s  (279/500)
  [w1]  #266  0-1     Party has no legal response         118 plies    5.3s  (280/500)
  [w0]  #289  1-0     Treasure checkmated or captured     133 plies    5.9s  (281/500)
  [w3]  #292  1-0     Treasure checkmated or captured     217 plies    9.4s  (282/500)
  [w1]  #270  0-1     Party extinct                       148 plies    6.5s  (283/500)
  [w0]  #293  0-1     Party extinct                       174 plies    7.6s  (284/500)
  [w1]  #274  1-0     Treasure checkmated or captured     155 plies    6.9s  (285/500)
  [w0]  #297  0-1     Party extinct                       102 plies    4.6s  (286/500)
  [w3]  #296  0-1     Party extinct                       270 plies   11.6s  (287/500)
  [w2]  #279  *       ply cap (600)                       600 plies   25.5s  (288/500)
  [w1]  #278  1-0     Treasure checkmated or captured     281 plies   12.2s  (289/500)
  [w0]  #301  1-0     Treasure checkmated or captured     193 plies    8.5s  (290/500)
  [w3]  #300  0-1     Party extinct                       322 plies   13.9s  (291/500)
  [w0]  #305  0-1     Party extinct                       142 plies    6.3s  (292/500)
  [w1]  #282  1-0     Treasure checkmated or captured     297 plies   12.9s  (293/500)
  [w3]  #304  1-0     Treasure checkmated or captured     187 plies    8.2s  (294/500)
  [w1]  #286  0-1     Party extinct                       110 plies    5.0s  (295/500)
  [w2]  #283  *       ply cap (600)                       600 plies   25.5s  (296/500)
  [w0]  #309  1-0     Treasure checkmated or captured     321 plies   13.8s  (297/500)
  [w0]  #313  1-0     Treasure checkmated or captured      47 plies    2.3s  (298/500)
  [w2]  #287  0-1     Party extinct                       104 plies    4.6s  (299/500)
  [w1]  #290  1-0     Treasure checkmated or captured     255 plies   11.0s  (300/500)
  [w3]  #308  1-0     Treasure checkmated or captured     409 plies   17.5s  (301/500)
  [w0]  #317  0-1     Party extinct                       250 plies   10.8s  (302/500)
  [w1]  #294  1-0     Treasure checkmated or captured     161 plies    7.0s  (303/500)
  [w3]  #312  0-1     Party extinct                       122 plies    5.4s  (304/500)
  [w2]  #291  1-0     Treasure checkmated or captured     371 plies   15.8s  (305/500)
  [w0]  #321  1-0     Treasure checkmated or captured     149 plies    6.6s  (306/500)
  [w3]  #316  0-1     Party extinct                       172 plies    7.5s  (307/500)
  [w0]  #325  0-1     Party extinct                       132 plies    5.9s  (308/500)
  [w0]  #329  0-1     Party extinct                       194 plies    8.7s  (309/500)
  [w3]  #320  1-0     Treasure checkmated or captured     309 plies   13.3s  (310/500)
  [w1]  #298  *       ply cap (600)                       600 plies   25.6s  (311/500)
  [w0]  #333  0-1     Party extinct                       200 plies    8.7s  (312/500)
