Match: rule-set 'v6-d8-minion-6-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  [w2]  #271  0-1     Party extinct                       164 plies    7.3s  (288/300)
  [w0]  #293  *       ply cap (600)                       600 plies   25.5s  (289/300)
  [w2]  #275  1-0     Treasure checkmated or captured     327 plies   14.1s  (290/300)
  [w3]  #292  *       ply cap (600)                       600 plies   25.5s  (291/300)
  [w0]  #297  1-0     Treasure checkmated or captured     541 plies   23.0s  (292/300)
  [w2]  #279  *       ply cap (600)                       600 plies   25.5s  (293/300)
  [w2]  #283  1-0     Treasure checkmated or captured      85 plies    4.0s  (294/300)
  [w3]  #296  *       ply cap (600)                       600 plies   25.5s  (295/300)
  [w2]  #287  0-1     Party extinct                       250 plies   10.9s  (296/300)
  [w2]  #291  0-1     Party extinct                       446 plies   19.2s  (297/300)
  [w3]  #300  *       ply cap (600)                       600 plies   25.6s  (298/300)
  [w2]  #295  *       ply cap (600)                       600 plies   25.8s  (299/300)
  [w2]  #299  1-0     Treasure checkmated or captured      69 plies    3.3s  (300/300)

========================================================
  Rule set    : v6-d8-minion-6-striker-range
  Games       : 300
--------------------------------------------------------
  Party wins  :   60  ( 20.0%)
  Horde wins  :   88  ( 29.3%)
  Unfinished  :  152  ( 50.7%)
--------------------------------------------------------
  Decisive      :  49.3%
  Party(decisive):  40.5%   95% CI [ 33.0% ..  48.6%]
  Imbalance     :  18.9%   (0% = perfectly balanced decisive games)
  Median plies  : 269  (decisive games)

  COMPOSITE SCORE : 0.400   (1.0 = balanced & decisive)
========================================================
  total time : 1473.1s  (4.91s / game, 4x)
  pgn        : reports/v6-overnight/match-v6-d8-minion-6-striker-range.pgn
