Match: rule-set 'v6-d8-minion-6-shortcap'  games=300  depth=8  max-plies=400  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-6-shortcap-66686-a95843f14944435aa272f3e0cd659660.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w2]  #295  1-0     Treasure checkmated or captured     395 plies   16.9s  (286/300)
  [w0]  #261  *       ply cap (400)                       400 plies   17.1s  (287/300)
  [w1]  #290  *       ply cap (400)                       400 plies   17.2s  (288/300)
  [w2]  #299  0-1     Party extinct                       226 plies    9.8s  (289/300)
  [w0]  #265  *       ply cap (400)                       400 plies   17.3s  (290/300)
  [w1]  #294  *       ply cap (400)                       400 plies   17.1s  (291/300)
  [w0]  #269  1-0     Treasure checkmated or captured     161 plies    7.2s  (292/300)
  [w1]  #298  *       ply cap (400)                       400 plies   17.1s  (293/300)
  [w0]  #273  *       ply cap (400)                       400 plies   17.2s  (294/300)
  [w0]  #277  *       ply cap (400)                       400 plies   17.4s  (295/300)
  [w0]  #281  *       ply cap (400)                       400 plies   17.3s  (296/300)
  [w0]  #285  1-0     Treasure checkmated or captured     251 plies   11.2s  (297/300)
  [w0]  #289  *       ply cap (400)                       400 plies   17.3s  (298/300)
  [w0]  #293  0-1     Party extinct                       278 plies   12.2s  (299/300)
  [w0]  #297  1-0     Treasure checkmated or captured     139 plies    6.2s  (300/300)

========================================================
  Rule set    : v6-d8-minion-6-shortcap
  Games       : 300
--------------------------------------------------------
  Party wins  :   59  ( 19.7%)
  Horde wins  :   72  ( 24.0%)
  Unfinished  :  169  ( 56.3%)
--------------------------------------------------------
  Decisive      :  43.7%
  Party(decisive):  45.0%   95% CI [ 36.8% ..  53.6%]
  Imbalance     :   9.9%   (0% = perfectly balanced decisive games)
  Median plies  : 210  (decisive games)

  COMPOSITE SCORE : 0.393   (1.0 = balanced & decisive)
========================================================
  total time : 1169.8s  (3.90s / game, 4x)
  pgn        : reports/v6-overnight/match-v6-d8-minion-6-shortcap.pgn
