Match: rule-set 'v6-d8-minion-6-lurker-n-plus'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  [w2]  #143  1-0     Treasure checkmated or captured     231 plies   10.0s  (162/300)
  [w1]  #194  1-0     Treasure checkmated or captured     299 plies   12.9s  (163/300)
  [w0]  #181  1-0     Treasure checkmated or captured     527 plies   22.4s  (164/300)
  [w2]  #147  *       ply cap (600)                       600 plies   25.4s  (165/300)
  [w1]  #198  *       ply cap (600)                       600 plies   25.4s  (166/300)
  [w0]  #185  *       ply cap (600)                       600 plies   25.4s  (167/300)
  [w2]  #151  1-0     Treasure checkmated or captured     109 plies    4.9s  (168/300)
  [w0]  #189  1-0     Treasure checkmated or captured     173 plies    7.5s  (169/300)
  [w1]  #202  0-1     Party extinct                       510 plies   21.7s  (170/300)
  [w0]  #193  1-0     Treasure checkmated or captured     319 plies   13.7s  (171/300)
  [w2]  #155  *       ply cap (600)                       600 plies   25.4s  (172/300)
  [w0]  #197  1-0     Treasure checkmated or captured     403 plies   17.2s  (173/300)
  [w1]  #206  *       ply cap (600)                       600 plies   25.5s  (174/300)
  [w3]  #136  *       engine timeout                      103 plies  124.6s  (175/300)
  [w0]  #201  *       ply cap (600)                       600 plies   25.5s  (176/300)
  [w1]  #210  0-1     Party extinct                       474 plies   20.2s  (177/300)
  [w3]  #140  1-0     Treasure checkmated or captured     103 plies    4.6s  (178/300)
  [w1]  #214  0-1     Party has no legal response         136 plies    6.0s  (179/300)
  [w1]  #218  1-0     Treasure checkmated or captured       1 plies    0.4s  (180/300)
  [w0]  #205  *       ply cap (600)                       600 plies   25.4s  (181/300)
  [w3]  #144  1-0     Treasure checkmated or captured     523 plies   22.3s  (182/300)
  [w0]  #209  1-0     Treasure checkmated or captured     137 plies    6.1s  (183/300)
  [w1]  #222  *       ply cap (600)                       600 plies   25.4s  (184/300)
  [w3]  #148  1-0     Treasure checkmated or captured     437 plies   18.7s  (185/300)
  [w0]  #213  *       ply cap (600)                       600 plies   25.4s  (186/300)
  [w3]  #152  1-0     Treasure checkmated or captured     319 plies   13.7s  (187/300)
  [w1]  #226  *       ply cap (600)                       600 plies   25.5s  (188/300)
  [w0]  #217  1-0     Treasure checkmated or captured     307 plies   13.2s  (189/300)
  [w3]  #156  1-0     Treasure checkmated or captured     325 plies   14.0s  (190/300)
  [w1]  #230  1-0     Treasure checkmated or captured     417 plies   17.8s  (191/300)
  [w0]  #221  1-0     Treasure checkmated or captured     191 plies    8.4s  (192/300)
  [w2]  #159  *       engine timeout                       85 plies  123.9s  (193/300)
  [w2]  #163  0-1     Party has no legal response         142 plies    6.3s  (194/300)
  [w0]  #225  0-1     Party extinct                       402 plies   17.2s  (195/300)
  [w3]  #160  1-0     Treasure checkmated or captured     599 plies   25.6s  (196/300)
  [w1]  #234  *       ply cap (600)                       600 plies   25.5s  (197/300)
  [w2]  #167  0-1     Party has no legal response         226 plies    9.9s  (198/300)
  [w0]  #229  1-0     Treasure checkmated or captured     163 plies    7.1s  (199/300)
  [w1]  #238  1-0     Treasure checkmated or captured      87 plies    4.0s  (200/300)
  [w2]  #171  0-1     Party extinct                       148 plies    6.5s  (201/300)
  [w1]  #242  1-0     Treasure checkmated or captured     199 plies    8.7s  (202/300)
  [w1]  #246  0-1     Party has no legal response         116 plies    5.2s  (203/300)
  [w2]  #175  1-0     Treasure checkmated or captured     277 plies   11.9s  (204/300)
  [w3]  #164  *       ply cap (600)                       600 plies   25.5s  (205/300)
  [w1]  #250  0-1     Party has no legal response         150 plies    6.6s  (206/300)
  [w0]  #233  0-1     Party extinct                       592 plies   25.2s  (207/300)
  [w2]  #179  1-0     Treasure checkmated or captured     197 plies    8.6s  (208/300)
  [w2]  #183  1-0     Treasure checkmated or captured      49 plies    2.4s  (209/300)
  [w3]  #168  0-1     Party extinct                       256 plies   11.0s  (210/300)
  [w1]  #254  0-1     Party extinct                       210 plies    9.1s  (211/300)
  [w2]  #187  1-0     Treasure checkmated or captured     165 plies    7.3s  (212/300)
  [w0]  #237  1-0     Treasure checkmated or captured     297 plies   12.8s  (213/300)
  [w1]  #258  1-0     Treasure checkmated or captured     281 plies   12.2s  (214/300)
  [w3]  #172  0-1     Party has no legal response         310 plies   13.4s  (215/300)
  [w2]  #191  0-1     Party extinct                       208 plies    9.1s  (216/300)
  [w0]  #241  0-1     Party has no legal response         184 plies    8.1s  (217/300)
  [w1]  #262  1-0     Treasure checkmated or captured     229 plies    9.9s  (218/300)
  [w0]  #245  1-0     Treasure checkmated or captured     377 plies   16.2s  (219/300)
  [w2]  #195  1-0     Treasure checkmated or captured     465 plies   19.9s  (220/300)
  [w3]  #176  1-0     Treasure checkmated or captured     531 plies   22.7s  (221/300)
  [w0]  #249  1-0     Treasure checkmated or captured     197 plies    8.6s  (222/300)
  [w0]  #253  1-0     Treasure checkmated or captured     145 plies    6.5s  (223/300)
  [w0]  #257  1-0     Treasure checkmated or captured       1 plies    0.4s  (224/300)
  [w2]  #199  1-0     Treasure checkmated or captured     311 plies   13.4s  (225/300)
  [w1]  #266  *       ply cap (600)                       600 plies   25.6s  (226/300)
  [w0]  #261  1-0     Treasure checkmated or captured     137 plies    6.0s  (227/300)
  [w3]  #180  *       ply cap (600)                       600 plies   25.5s  (228/300)
  [w1]  #270  1-0     Treasure checkmated or captured     313 plies   13.4s  (229/300)
  [w1]  #274  1-0     Treasure checkmated or captured      75 plies    3.5s  (230/300)
  [w2]  #203  *       ply cap (600)                       600 plies   25.4s  (231/300)
  [w0]  #265  1-0     Treasure checkmated or captured     489 plies   20.8s  (232/300)
  [w0]  #269  1-0     Treasure checkmated or captured     229 plies   10.0s  (233/300)
  [w1]  #278  1-0     Treasure checkmated or captured     431 plies   18.4s  (234/300)
  [w2]  #207  1-0     Treasure checkmated or captured     289 plies   12.5s  (235/300)
  [w3]  #184  *       ply cap (600)                       600 plies   25.5s  (236/300)
  [w3]  #188  1-0     Treasure checkmated or captured      71 plies    3.4s  (237/300)
  [w2]  #211  1-0     Treasure checkmated or captured     147 plies    6.5s  (238/300)
  [w0]  #273  0-1     Party extinct                       296 plies   12.8s  (239/300)
  [w3]  #192  1-0     Treasure checkmated or captured     227 plies    9.8s  (240/300)
  [w2]  #215  1-0     Treasure checkmated or captured     363 plies   15.6s  (241/300)
  [w3]  #196  0-1     Party has no legal response         178 plies    7.8s  (242/300)
  [w1]  #282  *       ply cap (600)                       600 plies   25.6s  (243/300)
  [w2]  #219  0-1     Party extinct                       192 plies    8.4s  (244/300)
  [w0]  #277  *       ply cap (600)                       600 plies   25.8s  (245/300)
  [w1]  #286  0-1     Party extinct                       310 plies   13.4s  (246/300)
  [w0]  #281  1-0     Treasure checkmated or captured     105 plies    4.8s  (247/300)
  [w2]  #223  1-0     Treasure checkmated or captured     301 plies   13.1s  (248/300)
  [w3]  #200  *       ply cap (600)                       600 plies   25.6s  (249/300)
  [w1]  #290  1-0     Treasure checkmated or captured     283 plies   12.2s  (250/300)
  [w2]  #227  1-0     Treasure checkmated or captured     243 plies   10.5s  (251/300)
  [w1]  #294  0-1     Party extinct                       152 plies    6.7s  (252/300)
  [w3]  #204  1-0     Treasure checkmated or captured     215 plies    9.4s  (253/300)
  [w1]  #298  1-0     Treasure checkmated or captured     135 plies    6.0s  (254/300)
  [w0]  #285  *       ply cap (600)                       600 plies   25.5s  (255/300)
  [w2]  #231  0-1     Party extinct                       384 plies   16.5s  (256/300)
  [w0]  #289  0-1     Party extinct                       138 plies    6.1s  (257/300)
  [w0]  #293  0-1     Party extinct                       152 plies    6.7s  (258/300)
  [w2]  #235  0-1     Party extinct                       248 plies   10.7s  (259/300)
  [w3]  #208  *       ply cap (600)                       600 plies   25.5s  (260/300)
  [w2]  #239  1-0     Treasure checkmated or captured     255 plies   11.0s  (261/300)
  [w2]  #243  1-0     Treasure checkmated or captured      81 plies    3.8s  (262/300)
  [w0]  #297  1-0     Treasure checkmated or captured     419 plies   17.9s  (263/300)
  [w3]  #212  *       ply cap (600)                       600 plies   25.5s  (264/300)
  [w2]  #247  *       ply cap (600)                       600 plies   25.7s  (265/300)
  [w3]  #216  *       ply cap (600)                       600 plies   25.6s  (266/300)
  [w2]  #251  1-0     Treasure checkmated or captured     335 plies   14.4s  (267/300)
  [w3]  #220  0-1     Party extinct                       132 plies    5.8s  (268/300)
  [w3]  #224  0-1     Party has no legal response         114 plies    5.1s  (269/300)
  [w2]  #255  1-0     Treasure checkmated or captured     285 plies   12.3s  (270/300)
  [w3]  #228  0-1     Party has no legal response         136 plies    6.0s  (271/300)
  [w3]  #232  1-0     Treasure checkmated or captured     121 plies    5.4s  (272/300)
  [w3]  #236  1-0     Treasure checkmated or captured     335 plies   14.4s  (273/300)
  [w2]  #259  *       ply cap (600)                       600 plies   25.5s  (274/300)
  [w3]  #240  0-1     Party extinct                       174 plies    7.6s  (275/300)
  [w3]  #244  1-0     Treasure checkmated or captured     179 plies    8.0s  (276/300)
  [w2]  #263  1-0     Treasure checkmated or captured     421 plies   18.2s  (277/300)
  [w3]  #248  1-0     Treasure checkmated or captured     137 plies    6.1s  (278/300)
  [w2]  #267  0-1     Party extinct                       300 plies   12.9s  (279/300)
  [w3]  #252  1-0     Treasure checkmated or captured     287 plies   12.4s  (280/300)
  [w2]  #271  1-0     Treasure checkmated or captured      51 plies    2.4s  (281/300)
  [w3]  #256  0-1     Party extinct                       444 plies   19.0s  (282/300)
  [w3]  #260  0-1     Party has no legal response         224 plies    9.7s  (283/300)
  [w3]  #264  1-0     Treasure checkmated or captured     335 plies   14.4s  (284/300)
