Match: rule-set 'v7-d8-spsa-base-best'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260426  parallel=4
  [w2]  #207  1-0     Treasure checkmated or captured     207 plies    9.0s  (182/300)
  [w0]  #169  0-1     Party extinct                       224 plies    9.7s  (183/300)
  [w3]  #188  0-1     Party extinct                       256 plies   11.1s  (184/300)
  [w3]  #192  0-1     Party has no legal response          40 plies    2.0s  (185/300)
  [w2]  #211  0-1     Party extinct                       198 plies    8.6s  (186/300)
  [w0]  #173  1-0     Treasure checkmated or captured     163 plies    7.2s  (187/300)
  [w3]  #196  1-0     Treasure checkmated or captured     189 plies    8.3s  (188/300)
  [w2]  #215  1-0     Treasure checkmated or captured     159 plies    7.0s  (189/300)
  [w1]  #170  *       ply cap (600)                       600 plies   25.5s  (190/300)
  [w2]  #219  0-1     Party extinct                       110 plies    5.0s  (191/300)
  [w0]  #177  1-0     Treasure checkmated or captured     245 plies   10.6s  (192/300)
  [w1]  #174  0-1     Party extinct                       126 plies    5.6s  (193/300)
  [w3]  #200  0-1     Party extinct                       304 plies   13.1s  (194/300)
  [w0]  #181  0-1     Party extinct                       160 plies    7.1s  (195/300)
  [w1]  #178  0-1     Party extinct                       192 plies    8.4s  (196/300)
  [w2]  #223  0-1     Party extinct                       272 plies   11.9s  (197/300)
  [w1]  #182  0-1     Party extinct                       154 plies    6.8s  (198/300)
  [w3]  #204  0-1     Party extinct                       218 plies    9.5s  (199/300)
  [w0]  #185  0-1     Party extinct                       214 plies    9.3s  (200/300)
  [w2]  #227  1-0     Treasure checkmated or captured     147 plies    6.5s  (201/300)
  [w1]  #186  1-0     Treasure checkmated or captured     147 plies    6.5s  (202/300)
  [w3]  #208  1-0     Treasure checkmated or captured     181 plies    7.9s  (203/300)
  [w2]  #231  1-0     Treasure checkmated or captured     177 plies    7.7s  (204/300)
  [w2]  #235  0-1     Party has no legal response         108 plies    4.9s  (205/300)
  [w3]  #212  0-1     Party extinct                       158 plies    7.0s  (206/300)
  [w3]  #216  1-0     Treasure checkmated or captured      69 plies    3.2s  (207/300)
  [w2]  #239  1-0     Treasure checkmated or captured     179 plies    7.8s  (208/300)
  [w0]  #189  *       ply cap (600)                       600 plies   25.5s  (209/300)
  [w3]  #220  0-1     Party extinct                       186 plies    8.1s  (210/300)
  [w1]  #190  *       ply cap (600)                       600 plies   25.5s  (211/300)
  [w1]  #194  1-0     Treasure checkmated or captured      25 plies    1.4s  (212/300)
