Match: rule-set 'v5-d8-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-striker-range-61864-63420651273245b8aa72ececc2aeaad1.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w0]  #257  0-1     Party extinct                       166 plies    7.3s  (264/300)
  [w2]  #279  *       ply cap (600)                       600 plies   25.5s  (265/300)
  [w3]  #272  0-1     Party has no legal response         158 plies    7.0s  (266/300)
  [w1]  #254  *       ply cap (600)                       600 plies   25.6s  (267/300)
  [w1]  #258  0-1     Party extinct                       110 plies    4.9s  (268/300)
  [w0]  #261  *       ply cap (600)                       600 plies   25.5s  (269/300)
  [w2]  #283  *       ply cap (600)                       600 plies   25.7s  (270/300)
  [w1]  #262  0-1     Party extinct                       320 plies   13.8s  (271/300)
  [w3]  #276  *       ply cap (600)                       600 plies   25.5s  (272/300)
  [w3]  #280  0-1     Party extinct                       240 plies   10.4s  (273/300)
  [w0]  #265  0-1     Party extinct                       414 plies   17.7s  (274/300)
  [w3]  #284  0-1     Party extinct                       154 plies    6.9s  (275/300)
  [w1]  #266  0-1     Party extinct                       574 plies   24.4s  (276/300)
  [w2]  #287  *       ply cap (600)                       600 plies   25.5s  (277/300)
  [w2]  #291  0-1     Party extinct                       138 plies    6.1s  (278/300)
  [w0]  #269  0-1     Party extinct                       502 plies   21.4s  (279/300)
  [w2]  #295  0-1     Party extinct                       260 plies   11.2s  (280/300)
  [w3]  #288  *       ply cap (600)                       600 plies   25.5s  (281/300)
  [w0]  #273  0-1     Party extinct                       246 plies   10.7s  (282/300)
  [w1]  #270  *       ply cap (600)                       600 plies   25.5s  (283/300)
  [w2]  #299  1-0     Treasure checkmated or captured     191 plies    8.3s  (284/300)
  [w3]  #292  0-1     Party extinct                       330 plies   14.2s  (285/300)
  [w1]  #274  0-1     Party extinct                       534 plies   22.8s  (286/300)
  [w0]  #277  *       ply cap (600)                       600 plies   25.5s  (287/300)
  [w3]  #296  0-1     Party extinct                       532 plies   22.8s  (288/300)
  [w0]  #281  0-1     Party extinct                       326 plies   14.0s  (289/300)
  [w1]  #278  *       ply cap (600)                       600 plies   25.6s  (290/300)
  [w3]  #300  *       ply cap (600)                       600 plies   25.6s  (291/300)
  [w0]  #285  0-1     Party extinct                       536 plies   22.9s  (292/300)
  [w1]  #282  1-0     Treasure checkmated or captured     335 plies   14.5s  (293/300)
  [w1]  #286  0-1     Party extinct                       210 plies    9.2s  (294/300)
  [w0]  #289  0-1     Party extinct                       520 plies   22.2s  (295/300)
  [w1]  #290  0-1     Party extinct                       598 plies   25.6s  (296/300)
  [w1]  #294  0-1     Party extinct                       214 plies    9.5s  (297/300)
  [w0]  #293  *       ply cap (600)                       600 plies   25.6s  (298/300)
  [w1]  #298  *       ply cap (600)                       600 plies   25.6s  (299/300)
  [w0]  #297  *       ply cap (600)                       600 plies   25.7s  (300/300)

========================================================
  Rule set    : v5-d8-striker-range
  Games       : 300
--------------------------------------------------------
  Party wins  :   32  ( 10.7%)
  Horde wins  :  118  ( 39.3%)
  Unfinished  :  150  ( 50.0%)
--------------------------------------------------------
  Decisive      :  50.0%
  Party(decisive):  21.3%   95% CI [ 15.5% ..  28.6%]
  Imbalance     :  57.3%   (0% = perfectly balanced decisive games)
  Median plies  : 248  (decisive games)

  COMPOSITE SCORE : 0.213   (1.0 = balanced & decisive)
========================================================
  total time : 1535.2s  (5.12s / game, 4x)
  pgn        : reports/v5-overnight/match-v5-d8-striker-range.pgn
