Match: rule-set 'v5-d8-minion-9'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v5-d8-minion-9-6972-1415d66083474cbfa185e6e952dbedd4.ini
  startFen : 4abtba3/m1mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w2]  #235  *       ply cap (600)                       600 plies   25.2s  (201/300)
  [w3]  #260  *       ply cap (600)                       600 plies   25.2s  (202/300)
  [w3]  #264  0-1     Party extinct                       142 plies    6.0s  (203/300)
  [w0]  #229  *       engine timeout                      421 plies  138.2s  (204/300)
  [w2]  #239  *       ply cap (600)                       600 plies   25.3s  (205/300)
  [w2]  #243  0-1     Party extinct                       204 plies    8.7s  (206/300)
  [w3]  #268  *       ply cap (600)                       600 plies   25.3s  (207/300)
  [w3]  #272  0-1     Party extinct                       252 plies   10.8s  (208/300)
  [w2]  #247  *       ply cap (600)                       600 plies   25.4s  (209/300)
  [w3]  #276  0-1     Party extinct                       294 plies   12.5s  (210/300)
  [w2]  #251  *       ply cap (600)                       600 plies   25.6s  (211/300)
  [w3]  #280  *       ply cap (600)                       600 plies   25.6s  (212/300)
  [w3]  #284  0-1     Party extinct                       150 plies    6.4s  (213/300)
  [w2]  #255  *       ply cap (600)                       600 plies   25.6s  (214/300)
  [w3]  #288  *       ply cap (600)                       600 plies   25.3s  (215/300)
  [w2]  #259  *       ply cap (600)                       600 plies   25.3s  (216/300)
  [w3]  #292  0-1     Party extinct                       440 plies   18.6s  (217/300)
  [w3]  #296  0-1     Party extinct                       320 plies   13.5s  (218/300)
  [w2]  #263  *       ply cap (600)                       600 plies   25.5s  (219/300)
  [w3]  #300  *       ply cap (600)                       600 plies   25.3s  (220/300)
  [w2]  #267  *       ply cap (600)                       600 plies   25.5s  (221/300)
  [w2]  #271  *       ply cap (600)                       600 plies   25.4s  (222/300)
  [w2]  #275  *       ply cap (600)                       600 plies   25.5s  (223/300)
  [w2]  #279  1-0     Treasure checkmated or captured       1 plies    0.1s  (224/300)
  [w2]  #283  1-0     Treasure checkmated or captured       1 plies    0.1s  (225/300)
  [w2]  #287  0-1     Party extinct                       224 plies    9.7s  (226/300)
  [w2]  #291  *       ply cap (600)                       600 plies   25.3s  (227/300)
  [w2]  #295  *       ply cap (600)                       600 plies   25.4s  (228/300)
  [w2]  #299  *       ply cap (600)                       600 plies   25.3s  (229/300)
