Match: rule-set 'v5-d8-lurker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-lurker-range-62409-d352d2a6124d4e1ea334a7a9a1df7f10.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w2]  #203  0-1     Party extinct                        98 plies    4.7s  (211/300)
  [w0]  #221  *       ply cap (600)                       600 plies   26.6s  (212/300)
  [w1]  #250  0-1     Party extinct                       402 plies   17.9s  (213/300)
  [w2]  #207  0-1     Party extinct                       256 plies   11.6s  (214/300)
  [w0]  #225  0-1     Party extinct                       108 plies    5.2s  (215/300)
  [w2]  #211  0-1     Party extinct                       222 plies   10.1s  (216/300)
  [w3]  #176  0-1     Party extinct                       530 plies   23.5s  (217/300)
  [w0]  #229  0-1     Party extinct                       244 plies   11.0s  (218/300)
  [w3]  #180  1-0     Treasure checkmated or captured     219 plies   10.0s  (219/300)
  [w1]  #254  *       ply cap (600)                       600 plies   26.5s  (220/300)
  [w2]  #215  0-1     Party extinct                       364 plies   16.4s  (221/300)
  [w1]  #258  1-0     Treasure checkmated or captured      27 plies    1.5s  (222/300)
  [w2]  #219  1-0     Treasure checkmated or captured     135 plies    6.4s  (223/300)
  [w1]  #262  0-1     Party extinct                       160 plies    7.4s  (224/300)
  [w0]  #233  *       ply cap (600)                       600 plies   26.6s  (225/300)
  [w2]  #223  0-1     Party extinct                       152 plies    7.0s  (226/300)
  [w3]  #184  0-1     Party extinct                       444 plies   19.8s  (227/300)
  [w1]  #266  0-1     Party extinct                       266 plies   12.0s  (228/300)
  [w0]  #237  0-1     Party extinct                       194 plies    8.8s  (229/300)
  [w0]  #241  0-1     Party extinct                       162 plies    7.4s  (230/300)
  [w0]  #245  0-1     Party extinct                       204 plies    9.3s  (231/300)
  [w2]  #227  *       ply cap (600)                       600 plies   26.6s  (232/300)
  [w3]  #188  *       ply cap (600)                       600 plies   26.6s  (233/300)
  [w2]  #231  0-1     Party extinct                       128 plies    5.9s  (234/300)
  [w1]  #270  *       ply cap (600)                       600 plies   26.6s  (235/300)
  [w0]  #249  0-1     Party extinct                       320 plies   14.5s  (236/300)
  [w2]  #235  0-1     Party extinct                       284 plies   12.9s  (237/300)
  [w1]  #274  0-1     Party extinct                       292 plies   13.2s  (238/300)
  [w3]  #192  *       ply cap (600)                       600 plies   26.6s  (239/300)
  [w1]  #278  0-1     Party extinct                       326 plies   14.6s  (240/300)
  [w0]  #253  *       ply cap (600)                       600 plies   26.6s  (241/300)
  [w1]  #282  0-1     Party extinct                       174 plies    7.9s  (242/300)
  [w2]  #239  *       ply cap (600)                       600 plies   26.7s  (243/300)
  [w0]  #257  0-1     Party extinct                       268 plies   12.1s  (244/300)
  [w1]  #286  0-1     Party extinct                       240 plies   11.2s  (245/300)
  [w3]  #196  *       ply cap (600)                       600 plies   26.6s  (246/300)
  [w0]  #261  0-1     Party extinct                        98 plies    4.6s  (247/300)
  [w3]  #200  0-1     Party extinct                       198 plies    9.0s  (248/300)
  [w0]  #265  0-1     Party extinct                       170 plies    7.8s  (249/300)
  [w2]  #243  0-1     Party extinct                       488 plies   21.7s  (250/300)
  [w2]  #247  0-1     Party extinct                       126 plies    5.9s  (251/300)
  [w2]  #251  1-0     Treasure checkmated or captured       7 plies    0.6s  (252/300)
  [w1]  #290  0-1     Party extinct                       528 plies   23.5s  (253/300)
  [w3]  #204  0-1     Party extinct                       306 plies   13.7s  (254/300)
  [w2]  #255  0-1     Party extinct                       196 plies    8.9s  (255/300)
  [w1]  #294  0-1     Party extinct                       204 plies    9.3s  (256/300)
  [w2]  #259  0-1     Party extinct                        94 plies    4.4s  (257/300)
  [w0]  #269  0-1     Party extinct                       574 plies   25.5s  (258/300)
  [w3]  #208  0-1     Party extinct                       426 plies   19.0s  (259/300)
  [w3]  #212  0-1     Party extinct                       144 plies    6.7s  (260/300)
  [w3]  #216  0-1     Party extinct                       168 plies    7.7s  (261/300)
  [w1]  #298  *       ply cap (600)                       600 plies   26.7s  (262/300)
  [w2]  #263  *       ply cap (600)                       600 plies   26.8s  (263/300)
  [w0]  #273  *       ply cap (600)                       600 plies   26.6s  (264/300)
  [w0]  #277  0-1     Party extinct                       238 plies   10.8s  (265/300)
  [w0]  #281  0-1     Party extinct                       166 plies    7.6s  (266/300)
  [w3]  #220  *       ply cap (600)                       600 plies   26.7s  (267/300)
